id;d''eocale;key;valueEn;value;isPublic;
550e8400-e29b-41d4-a716-700000100000;it;AUTH.GREETINGS;Greetings fellow, Honkler!;Saluti, caro Honkler!;1;
550e8400-e29b-41d4-a716-700000200000;it;AUTH.SIGN_IN.JOKE;Maybe we need back to;Forse dobbiamo tornare a;1;
550e8400-e29b-41d4-a716-700000300000;it;AUTH.NO_ACCOUNT_SIGN_UP;Don''t have an account? Sign up now!;Non hai un account? Registrati ora!;1;
550e8400-e29b-41d4-a716-700000400000;it;AUTH.HAS_ACCOUNT_SIGN_IN;Already have an account? Sign in now!;Hai già un account? Accedi ora!;1;
550e8400-e29b-41d4-a716-700000500000;it;COMMON.FIX_ERROR_BEFORE_CONTINUE;Please fix the error before continuing.;Per favore correggi l''errore prima di continuare.;1;
550e8400-e29b-41d4-a716-700000500001;it;COMMON.WE_ARE_HONKING;We are honking since 2024!;Stiamo honking dal 2024!;1;
550e8400-e29b-41d4-a716-700000600000;it;COMMON.BUTTON.OK;OK;OK;1;
550e8400-e29b-41d4-a716-700000700000;it;COMMON.BUTTON.CANCEL;Cancel;Annulla;1;
550e8400-e29b-41d4-a716-700000800000;it;COMMON.BUTTON.PROCEED;Proceed;Procedi;1;
550e8400-e29b-41d4-a716-700000900000;it;COMMON.BUTTON.SAVE;Save;Salva;1;
550e8400-e29b-41d4-a716-700000900001;it;COMMON.BUTTON.UPDATE;Update;Aggiorna;1;
550e8400-e29b-41d4-a716-700001000000;it;COMMON.BUTTON.HONK;Honk;Honk;1;
550e8400-e29b-41d4-a716-700001000001;it;COMMON.BUTTON.ADD;Add;Aggiungi;1;
550e8400-e29b-41d4-a716-700001000002;it;COMMON.BUTTON.REMOVE;Remove;Rimuovi;1;
550e8400-e29b-41d4-a716-700001000003;it;COMMON.BUTTON.EDIT;Edit;Modifica;1;
550e8400-e29b-41d4-a716-700001000004;it;COMMON.BUTTON.CREATE;Create;Crea;1;
550e8400-e29b-41d4-a716-700001000005;it;COMMON.BUTTON.RESET;Reset;Reimposta;1;
550e8400-e29b-41d4-a716-700001100000;it;AUTH.SIGN_IN.LOGIN_OR_EMAIL;Login or email;Nome utente o email;1;
550e8400-e29b-41d4-a716-700001200000;it;COMMON.PASSWORD;Password;Password;1;
550e8400-e29b-41d4-a716-700001300000;it;AUTH.SIGN_IN.REMEMBER_ME;Remember me;Ricordami;1;
550e8400-e29b-41d4-a716-700001400000;it;AUTH.FORGOT;Forgot?;Dimenticato?;1;
550e8400-e29b-41d4-a716-700001500000;it;AUTH.SIGN_IN.SIGN_IN;Sign in;Accedi;1;
550e8400-e29b-41d4-a716-700001600000;it;COMMON.EMAIL;Email;Email;1;
550e8400-e29b-41d4-a716-700001700000;it;COMMON.LOGIN;Login;Nome utente;1;
550e8400-e29b-41d4-a716-700001800000;it;AUTH.SIGN_UP.WELCOME;Welcome to the Honkler community!;Benvenuto nella comunità Honkler!;1;
550e8400-e29b-41d4-a716-700001900000;it;COMMON.FIRST_NAME;First name;Nome;1;
550e8400-e29b-41d4-a716-700002000000;it;COMMON.LAST_NAME;Last name;Cognome;1;
550e8400-e29b-41d4-a716-700002100000;it;COMMON.CONFIRM_EMAIL;Confirm email;Conferma email;1;
550e8400-e29b-41d4-a716-700002200000;it;COMMON.CONFIRM_PASSWORD;Confirm password;Conferma password;1;
550e8400-e29b-41d4-a716-700002300000;it;COMMON.NO_COMPLAINTS;No complaints;Nessuna lamentela;1;
550e8400-e29b-41d4-a716-700002400000;it;COMMON.SIGN_UP;Sign up;Registrati;1;
550e8400-e29b-41d4-a716-700002500000;it;PROFILE.EDUCATION.FIELD_OF_STUDY;Field of study;Campo di studio;1;
550e8400-e29b-41d4-a716-700002600000;it;PROFILE.EDUCATION.INSTITUTION;Institution;Istituzione;1;
550e8400-e29b-41d4-a716-700002700000;it;COMMON.DO_NOT_STORE_ANY_SENSITIVE_DATA;Do not store any sensitive data;Non memorizzare dati sensibili;1;
550e8400-e29b-41d4-a716-700002800000;it;COMMON.START_DATE;Start date;Data di inizio;1;
550e8400-e29b-41d4-a716-700002900000;it;COMMON.END_DATE;End date;Data di fine;1;
550e8400-e29b-41d4-a716-700003000000;it;COMMON.ISSUE_DATE;Issue date;Data di emissione;1;
550e8400-e29b-41d4-a716-700003100000;it;COMMON.EXPIRATION_DATE;Expiration date;Data di scadenza;1;
550e8400-e29b-41d4-a716-700003200000;it;PROFILE.CERTIFICATION.CERTIFICATION;Certification;Certificazione;1;
550e8400-e29b-41d4-a716-700003300000;it;PROFILE.CERTIFICATION.ISSUER;Issuer;Emittente;1;
550e8400-e29b-41d4-a716-700003400000;it;PROFILE.PROJECT.PROJECT;Project;Progetto;1;
